hub_id,hub_name,vehicle_id,delivery_sequence,order_id,route_distance_km,route_load_kg
2,Hub_Nha_Hat,25,2,81,2.53,20.0
2,Hub_Nha_Hat,25,3,78,2.53,20.0
2,Hub_Nha_Hat,25,4,9,2.53,20.0
2,Hub_Nha_Hat,25,5,118,2.53,20.0
2,Hub_Nha_Hat,25,6,24,2.53,20.0
2,Hub_Nha_Hat,25,7,34,2.53,20.0
2,Hub_Nha_Hat,25,8,46,2.53,20.0
2,Hub_Nha_Hat,26,1,87,1.13,19.35
2,Hub_Nha_Hat,26,2,76,1.13,19.35
2,Hub_Nha_Hat,26,3,35,1.13,19.35
2,Hub_Nha_Hat,26,4,54,1.13,19.35
2,Hub_Nha_Hat,27,1,40,1.05,18.13
2,Hub_Nha_Hat,27,2,110,1.05,18.13
2,Hub_Nha_Hat,27,3,94,1.05,18.13
2,Hub_Nha_Hat,27,4,5,1.05,18.13
2,Hub_Nha_Hat,28,1,116,0.86,15.38
2,Hub_Nha_Hat,28,2,79,0.86,15.38
2,Hub_Nha_Hat,28,3,88,0.86,15.38
2,Hub_Nha_Hat,29,1,26,0.4,18.98
2,Hub_Nha_Hat,29,2,91,0.4,18.98
2,Hub_Nha_Hat,30,1,106,1.21,14.7
2,Hub_Nha_Hat,30,2,120,1.21,14.7
2,Hub_Nha_Hat,30,3,1,1.21,14.7
2,Hub_Nha_Hat,30,4,82,1.21,14.7
4,Hub_Van_Thanh,1,1,125,0.0,18.53
4,Hub_Van_Thanh,2,1,164,0.0,4.22
4,Hub_Van_Thanh,3,1,148,3.39,17.8
4,Hub_Van_Thanh,3,2,170,3.39,17.8
4,Hub_Van_Thanh,3,3,160,3.39,17.8
4,Hub_Van_Thanh,3,4,122,3.39,17.8
4,Hub_Van_Thanh,4,1,149,3.17,19.85
4,Hub_Van_Thanh,4,2,161,3.17,19.85
4,Hub_Van_Thanh,4,3,123,3.17,19.85
4,Hub_Van_Thanh,4,4,210,3.17,19.85
4,Hub_Van_Thanh,4,5,208,3.17,19.85
4,Hub_Van_Thanh,5,1,157,3.5,18.95
4,Hub_Van_Thanh,5,2,199,3.5,18.95
4,Hub_Van_Thanh,5,3,168,3.5,18.95
4,Hub_Van_Thanh,5,4,177,3.5,18.95
4,Hub_Van_Thanh,5,5,132,3.5,18.95
4,Hub_Van_Thanh,5,6,147,3.5,18.95
4,Hub_Van_Thanh,6,1,195,5.65,18.91
4,Hub_Van_Thanh,6,2,153,5.65,18.91
4,Hub_Van_Thanh,7,1,205,0.0,10.91
4,Hub_Van_Thanh,8,1,154,3.48,19.42
4,Hub_Van_Thanh,8,2,159,3.48,19.42
4,Hub_Van_Thanh,8,3,156,3.48,19.42
4,Hub_Van_Thanh,8,4,134,3.48,19.42
4,Hub_Van_Thanh,8,5,192,3.48,19.42
4,Hub_Van_Thanh,9,1,176,3.0,19.72
4,Hub_Van_Thanh,9,2,172,3.0,19.72
4,Hub_Van_Thanh,9,3,171,3.0,19.72
4,Hub_Van_Thanh,9,4,150,3.0,19.72
4,Hub_Van_Thanh,9,5,198,3.0,19.72
4,Hub_Van_Thanh,9,6,126,3.0,19.72
4,Hub_Van_Thanh,9,7,182,3.0,19.72
4,Hub_Van_Thanh,10,1,200,0.0,8.77
4,Hub_Van_Thanh,11,1,187,6.5,18.85
4,Hub_Van_Thanh,11,2,137,6.5,18.85
4,Hub_Van_Thanh,11,3,197,6.5,18.85
4,Hub_Van_Thanh,11,4,124,6.5,18.85
4,Hub_Van_Thanh,11,5,174,6.5,18.85
4,Hub_Van_Thanh,12,1,135,5.66,20.34
4,Hub_Van_Thanh,12,2,146,5.66,20.34
4,Hub_Van_Thanh,12,3,181,5.66,20.34
4,Hub_Van_Thanh,12,4,127,5.66,20.34
4,Hub_Van_Thanh,12,5,138,5.66,20.34
4,Hub_Van_Thanh,12,6,203,5.66,20.34
4,Hub_Van_Thanh,12,7,173,5.66,20.34
4,Hub_Van_Thanh,12,8,191,5.66,20.34
4,Hub_Van_Thanh,13,1,201,3.27,18.87
4,Hub_Van_Thanh,13,2,162,3.27,18.87
4,Hub_Van_Thanh,13,3,194,3.27,18.87
4,Hub_Van_Thanh,13,4,193,3.27,18.87
4,Hub_Van_Thanh,13,5,189,3.27,18.87
4,Hub_Van_Thanh,14,1,144,1.91,18.66
4,Hub_Van_Thanh,14,2,206,1.91,18.66
4,Hub_Van_Thanh,14,3,131,1.91,18.66
4,Hub_Van_Thanh,14,4,141,1.91,18.66
4,Hub_Van_Thanh,15,1,121,0.0,19.54
