order_id,hub_id,hub_strategy,traffic_condition,scenario,time,distance,cost,co2,modes_used
5,1,centralized,Peak,Central Full Multimodal,3.8616,0.7723,2316.97,0.0927,road
6,2,nearest,Off-Peak,Road Only,1.0588,0.5294,1588.18,0.0635,road
6,2,nearest,Off-Peak,Road + Metro,1.0588,0.5294,1588.18,0.0635,road
6,2,nearest,Off-Peak,Road + Waterbus,1.0588,0.5294,1588.18,0.0635,road
6,2,nearest,Off-Peak,Full Multimodal,1.0588,0.5294,1588.18,0.0635,road
6,2,nearest,Peak,Road Only,2.647,0.5294,1588.18,0.0635,road
6,2,nearest,Peak,Road + Metro,2.647,0.5294,1588.18,0.0635,road
6,2,nearest,Peak,Road + Waterbus,2.647,0.5294,1588.18,0.0635,road
6,2,nearest,Peak,Full Multimodal,2.647,0.5294,1588.18,0.0635,road
6,1,centralized,Off-Peak,Central Road Only,2.7796,1.3898,4169.39,0.1668,road
6,1,centralized,Off-Peak,Central Road + Metro,2.7796,1.3898,4169.39,0.1668,road
6,1,centralized,Off-Peak,Central Road + Waterbus,2.7796,1.3898,4169.39,0.1668,road
6,1,centralized,Off-Peak,Central Full Multimodal,2.7796,1.3898,4169.39,0.1668,road
6,1,centralized,Peak,Central Road Only,6.949,1.3898,4169.39,0.1668,road
6,1,centralized,Peak,Central Road + Metro,6.949,1.3898,4169.39,0.1668,road
6,1,centralized,Peak,Central Road + Waterbus,6.949,1.3898,4169.39,0.1668,road
6,1,centralized,Peak,Central Full Multimodal,6.949,1.3898,4169.39,0.1668,road
8,2,nearest,Off-Peak,Road Only,2.2143,1.1071,3321.44,0.1329,road
8,2,nearest,Off-Peak,Road + Metro,2.2143,1.1071,3321.44,0.1329,road
8,2,nearest,Off-Peak,Road + Waterbus,2.2143,1.1071,3321.44,0.1329,road
8,2,nearest,Off-Peak,Full Multimodal,2.2143,1.1071,3321.44,0.1329,road
8,2,nearest,Peak,Road Only,5.5357,1.1071,3321.44,0.1329,road
8,2,nearest,Peak,Road + Metro,5.5357,1.1071,3321.44,0.1329,road
8,2,nearest,Peak,Road + Waterbus,5.5357,1.1071,3321.44,0.1329,road
8,2,nearest,Peak,Full Multimodal,5.5357,1.1071,3321.44,0.1329,road
8,1,centralized,Off-Peak,Central Road Only,2.4974,1.2487,3746.1,0.1498,road
8,1,centralized,Off-Peak,Central Road + Metro,2.4974,1.2487,3746.1,0.1498,road
8,1,centralized,Off-Peak,Central Road + Waterbus,2.4974,1.2487,3746.1,0.1498,road
8,1,centralized,Off-Peak,Central Full Multimodal,2.4974,1.2487,3746.1,0.1498,road
8,1,centralized,Peak,Central Road Only,6.2435,1.2487,3746.1,0.1498,road
8,1,centralized,Peak,Central Road + Metro,6.2435,1.2487,3746.1,0.1498,road
8,1,centralized,Peak,Central Road + Waterbus,6.2435,1.2487,3746.1,0.1498,road
8,1,centralized,Peak,Central Full Multimodal,6.2435,1.2487,3746.1,0.1498,road
9,1,nearest,Off-Peak,Road Only,0.8577,0.4289,1286.56,0.0515,road
9,1,nearest,Off-Peak,Road + Metro,0.8577,0.4289,1286.56,0.0515,road
9,1,nearest,Off-Peak,Road + Waterbus,0.8577,0.4289,1286.56,0.0515,road
9,1,nearest,Off-Peak,Full Multimodal,0.8577,0.4289,1286.56,0.0515,road
9,1,nearest,Peak,Road Only,2.1443,0.4289,1286.56,0.0515,road
9,1,nearest,Peak,Road + Metro,2.1443,0.4289,1286.56,0.0515,road
9,1,nearest,Peak,Road + Waterbus,2.1443,0.4289,1286.56,0.0515,road
9,1,nearest,Peak,Full Multimodal,2.1443,0.4289,1286.56,0.0515,road
9,1,centralized,Off-Peak,Central Road Only,0.8577,0.4289,1286.56,0.0515,road
9,1,centralized,Off-Peak,Central Road + Metro,0.8577,0.4289,1286.56,0.0515,road
9,1,centralized,Off-Peak,Central Road + Waterbus,0.8577,0.4289,1286.56,0.0515,road
9,1,centralized,Off-Peak,Central Full Multimodal,0.8577,0.4289,1286.56,0.0515,road
